indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,-1,,
Telecommunication Services,,,,
Automobiles & Components,,,,
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,-1,-1,,
Consumer Staples Distribution & Retail,,,,
Food Beverage & Tobacco,,1,,
Household & Personal Products,,,-1,
Energy,,,,
Banks,,,,
Financial Services,,,1,
Insurance,,,,
Health Care Equipment & Services,,1,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,-1,,
Transportation,,,,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,-1,,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,1,,,
