indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,-1,,-1
Telecommunication Services,,,1,
Automobiles & Components,,,,
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,,,
Consumer Staples Distribution & Retail,,,,
Food Beverage & Tobacco,,1,,
Household & Personal Products,-1,,,
Energy,,,,
Banks,,,,
Financial Services,,-1,1,
Insurance,,,,
Health Care Equipment & Services,,,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,,,
Transportation,,,,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,,1,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
