indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,,,
Automobiles & Components,,-1,,
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,,,
Consumer Staples Distribution & Retail,-1,,,
Food Beverage & Tobacco,,1,,
Household & Personal Products,,,,
Energy,,,,
Banks,1,,,
Financial Services,,,,
Insurance,,,,
Health Care Equipment & Services,,1,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,-1,,
Transportation,,,,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,,,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
