indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,-1,,
Telecommunication Services,,,,
Automobiles & Components,1,,,
Consumer Services,,,,1
Consumer Durables & Apparel,1,,,
Consumer Discretionary Distribution & Retail,-1,,-1,
Consumer Staples Distribution & Retail,,,,
Food Beverage & Tobacco,1,1,1,
Household & Personal Products,,,-1,-1
Energy,,,,
Banks,1,,,1
Financial Services,-1,,1,
Insurance,,,1,
Health Care Equipment & Services,,1,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,-1,,
Transportation,,-1,1,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,-1,,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,1,,,
