indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,,,
Automobiles & Components,,,,
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,,,
Consumer Staples Distribution & Retail,-1,,-1,
Food Beverage & Tobacco,,1,,
Household & Personal Products,,,-1,
Energy,,,,
Banks,,,,
Financial Services,,,,
Insurance,,,,
Health Care Equipment & Services,,,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,-1,,
Transportation,,-1,,
Software & Services,,,1,
Semiconductors & Semiconductor Equipment,-1,,,
Technology Hardware & Equipment,,,1,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,1,1,,
