indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,-1,,
Telecommunication Services,,,,
Automobiles & Components,,,,
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,,,
Consumer Staples Distribution & Retail,-1,,,
Food Beverage & Tobacco,,1,,
Household & Personal Products,,,,
Energy,,,-1,
Banks,,,,
Financial Services,-1,,,
Insurance,,,1,
Health Care Equipment & Services,,,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,,,
Transportation,,,,
Software & Services,,1,,
Semiconductors & Semiconductor Equipment,,1,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
