indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,,,
Automobiles & Components,,,,
Consumer Services,,1,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,,,
Consumer Staples Distribution & Retail,,,,1
Food Beverage & Tobacco,,1,,
Household & Personal Products,,,-1,-1
Energy,,,,
Banks,,,,
Financial Services,,,,
Insurance,,,,
Health Care Equipment & Services,,,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,-1,-1,,
Transportation,,,,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,,,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
