indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,-1,,
Automobiles & Components,,,,
Consumer Services,,-1,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,,,-1
Consumer Staples Distribution & Retail,-1,,,-1
Food Beverage & Tobacco,,,,
Household & Personal Products,,,-1,
Energy,1,,,
Banks,,,,
Financial Services,,-1,1,
Insurance,-1,,,
Health Care Equipment & Services,,,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,-1
Commercial & Professional Services,,,,
Transportation,,,,
Software & Services,-1,,,1
Semiconductors & Semiconductor Equipment,,,,-1
Technology Hardware & Equipment,,,-1,1
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
