indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,-1,,
Telecommunication Services,,,1,
Automobiles & Components,,,,
Consumer Services,,,-1,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,-1,,
Consumer Staples Distribution & Retail,-1,-1,,
Food Beverage & Tobacco,,,1,
Household & Personal Products,,,-1,-1
Energy,,,,
Banks,,,,
Financial Services,1,,-1,-1
Insurance,,1,,
Health Care Equipment & Services,,-1,1,
"Pharmaceuticals, Biotechnology & Life Sciences",-1,,,
Capital Goods,,,,
Commercial & Professional Services,,,,
Transportation,,1,,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,,,,
Technology Hardware & Equipment,,,,
Materials,,,-1,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
