indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,-1,-1
Telecommunication Services,1,-1,1,
Automobiles & Components,1,,-1,
Consumer Services,,,,-1
Consumer Durables & Apparel,1,,,
Consumer Discretionary Distribution & Retail,,,,
Consumer Staples Distribution & Retail,-1,,,
Food Beverage & Tobacco,,,1,
Household & Personal Products,,-1,-1,
Energy,1,,,
Banks,,,,1
Financial Services,,,,
Insurance,,,,1
Health Care Equipment & Services,,1,,-1
"Pharmaceuticals, Biotechnology & Life Sciences",,1,,
Capital Goods,,,,
Commercial & Professional Services,,,-1,
Transportation,,,,
Software & Services,-1,,1,
Semiconductors & Semiconductor Equipment,,,1,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,1,,
