indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,-1,
Telecommunication Services,1,-1,1,
Automobiles & Components,1,,-1,
Consumer Services,,-1,,
Consumer Durables & Apparel,1,,,
Consumer Discretionary Distribution & Retail,,-1,,
Consumer Staples Distribution & Retail,-1,,,
Food Beverage & Tobacco,,1,1,
Household & Personal Products,,,-1,-1
Energy,1,,,1
Banks,,1,1,1
Financial Services,,-1,,-1
Insurance,,1,1,
Health Care Equipment & Services,,,1,
"Pharmaceuticals, Biotechnology & Life Sciences",-1,1,,
Capital Goods,,,,
Commercial & Professional Services,,,-1,1
Transportation,,1,,
Software & Services,-1,,1,
Semiconductors & Semiconductor Equipment,,,1,
Technology Hardware & Equipment,1,1,-1,1
Materials,,,-1,
Equity Real Estate Investment Trusts (REITs),-1,,1,
Utilities,1,1,,
