indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,-1,,-1
Telecommunication Services,,,,
Automobiles & Components,,,,
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,-1,,
Consumer Staples Distribution & Retail,-1,,,
Food Beverage & Tobacco,,1,1,
Household & Personal Products,,,-1,
Energy,,,-1,
Banks,,,,
Financial Services,,,,
Insurance,,,,
Health Care Equipment & Services,,,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,,,-1
Transportation,,,,
Software & Services,,,1,1
Semiconductors & Semiconductor Equipment,,,,
Technology Hardware & Equipment,,,,
Materials,1,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
