indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,-1,-1,
Telecommunication Services,,,,
Automobiles & Components,,,,
Consumer Services,-1,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,-1,,
Consumer Staples Distribution & Retail,-1,,,
Food Beverage & Tobacco,1,1,,1
Household & Personal Products,,-1,,-1
Energy,,,,
Banks,,,,
Financial Services,,,1,
Insurance,,,,
Health Care Equipment & Services,,1,1,-1
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,,,
Transportation,,,,
Software & Services,,,1,
Semiconductors & Semiconductor Equipment,,,1,
Technology Hardware & Equipment,,,,
Materials,,-1,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,1,1,,1
