indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,,1,
Automobiles & Components,,1,-1,
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,,-1,,
Consumer Staples Distribution & Retail,-1,,,-1
Food Beverage & Tobacco,,1,,
Household & Personal Products,,,,-1
Energy,,,1,
Banks,,,1,
Financial Services,-1,-1,,
Insurance,,,,
Health Care Equipment & Services,,,,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,,-1,
Transportation,,,,
Software & Services,,,,1
Semiconductors & Semiconductor Equipment,,,,
Technology Hardware & Equipment,,1,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),-1,,,
Utilities,1,,,
