indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,,1,
Automobiles & Components,,,,
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,1,,,-1
Consumer Staples Distribution & Retail,-1,,,
Food Beverage & Tobacco,,,,
Household & Personal Products,,,,-1
Energy,,,,
Banks,,,,
Financial Services,,,-1,
Insurance,,,,
Health Care Equipment & Services,,,,
"Pharmaceuticals, Biotechnology & Life Sciences",-1,,,
Capital Goods,-1,,,
Commercial & Professional Services,,,-1,
Transportation,,-1,,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,,,,
Technology Hardware & Equipment,,,1,
Materials,,,-1,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,1,
