indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,,1,
Automobiles & Components,,,,
Consumer Services,,,,
Consumer Durables & Apparel,1,,-1,
Consumer Discretionary Distribution & Retail,,,-1,
Consumer Staples Distribution & Retail,-1,,,
Food Beverage & Tobacco,,1,,
Household & Personal Products,,,,
Energy,,,,
Banks,,1,1,
Financial Services,,,,
Insurance,,,,
Health Care Equipment & Services,,1,,
"Pharmaceuticals, Biotechnology & Life Sciences",-1,,,1
Capital Goods,,,,
Commercial & Professional Services,1,,,
Transportation,-1,-1,-1,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,,,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),-1,-1,,
Utilities,,,1,
