indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,1,,
Automobiles & Components,1,,,
Consumer Services,,,,1
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,1,,,
Consumer Staples Distribution & Retail,,,,
Food Beverage & Tobacco,,,1,
Household & Personal Products,,,,
Energy,,,,
Banks,1,,,
Financial Services,,,,
Insurance,,,,
Health Care Equipment & Services,,,1,1
"Pharmaceuticals, Biotechnology & Life Sciences",,,1,1
Capital Goods,,1,,
Commercial & Professional Services,,,,
Transportation,,,,
Software & Services,,1,,
Semiconductors & Semiconductor Equipment,,1,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
