indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,,,
Automobiles & Components,1,,,
Consumer Services,,,,1
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,1,,,
Consumer Staples Distribution & Retail,,,,
Food Beverage & Tobacco,,,1,
Household & Personal Products,,,,
Energy,,,,
Banks,1,,,
Financial Services,,,,
Insurance,,,,
Health Care Equipment & Services,,,1,1
"Pharmaceuticals, Biotechnology & Life Sciences",,,1,1
Capital Goods,,,,
Commercial & Professional Services,,,,
Transportation,,,,
Software & Services,,,,
Semiconductors & Semiconductor Equipment,,,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
