indgp,Recovery,Stagflation,Reccesion,Overheat
Media,1,,,
Telecommunication Services,,,,
Automobiles & Components,1,1,,1
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,1,,,
Consumer Staples Distribution & Retail,,,,
Food Beverage & Tobacco,,,,
Household & Personal Products,,,,
Energy,,1,,
Banks,,,,
Financial Services,,,1,1
Insurance,,,1,
Health Care Equipment & Services,,,1,1
"Pharmaceuticals, Biotechnology & Life Sciences",,,,1
Capital Goods,,,,
Commercial & Professional Services,,,,
Transportation,,,,
Software & Services,,1,,
Semiconductors & Semiconductor Equipment,,1,,
Technology Hardware & Equipment,,,,
Materials,,,,
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,,
