Period,OECD_CH
9/30/1995,Recovery
12/31/1995,Reccesion
3/31/1996,Recovery
6/30/1996,Recovery
9/30/1996,Recovery
12/31/1996,Recovery
3/31/1997,Reccesion
6/30/1997,Reccesion
9/30/1997,Reccesion
12/31/1997,Reccesion
3/31/1998,Reccesion
6/30/1998,Recovery
9/30/1998,Recovery
12/31/1998,Overheat
3/31/1999,Recovery
6/30/1999,Recovery
9/30/1999,Overheat
12/31/1999,Stagflation
3/31/2000,Stagflation
6/30/2000,Stagflation
9/30/2000,Stagflation
12/31/2000,Stagflation
3/31/2001,Stagflation
6/30/2001,Stagflation
9/30/2001,Reccesion
12/31/2001,Recovery
3/31/2002,Recovery
6/30/2002,Recovery
9/30/2002,Overheat
12/31/2002,Overheat
3/31/2003,Overheat
6/30/2003,Overheat
9/30/2003,Overheat
12/31/2003,Overheat
3/31/2004,Stagflation
6/30/2004,Stagflation
9/30/2004,Stagflation
12/31/2004,Reccesion
3/31/2005,Reccesion
6/30/2005,Reccesion
9/30/2005,Recovery
12/31/2005,Recovery
3/31/2006,Recovery
6/30/2006,Overheat
9/30/2006,Overheat
12/31/2006,Overheat
3/31/2007,Overheat
6/30/2007,Overheat
9/30/2007,Overheat
12/31/2007,Stagflation
3/31/2008,Stagflation
6/30/2008,Stagflation
9/30/2008,Reccesion
12/31/2008,Reccesion
3/31/2009,Reccesion
6/30/2009,Recovery
9/30/2009,Overheat
12/31/2009,Overheat
3/31/2010,Overheat
6/30/2010,Stagflation
9/30/2010,Stagflation
12/31/2010,Stagflation
3/31/2011,Overheat
6/30/2011,Overheat
9/30/2011,Stagflation
12/31/2011,Reccesion
3/31/2012,Reccesion
6/30/2012,Recovery
9/30/2012,Recovery
12/31/2012,Overheat
3/31/2013,Overheat
6/30/2013,Overheat
9/30/2013,Overheat
12/31/2013,Recovery
3/31/2014,Reccesion
6/30/2014,Reccesion
9/30/2014,Reccesion
12/31/2014,Reccesion
3/31/2015,Recovery
6/30/2015,Recovery
9/30/2015,Stagflation
12/31/2015,Stagflation
3/31/2016,Stagflation
6/30/2016,Overheat
9/30/2016,Overheat
12/31/2016,Overheat
3/31/2017,Recovery
6/30/2017,Recovery
9/30/2017,Stagflation
12/31/2017,Stagflation
3/31/2018,Stagflation
6/30/2018,Stagflation
9/30/2018,Stagflation
12/31/2018,Reccesion
3/31/2019,Stagflation
6/30/2019,Stagflation
9/30/2019,Stagflation
12/31/2019,Stagflation
3/31/2020,Stagflation
6/30/2020,Recovery
9/30/2020,Recovery
12/31/2020,Recovery
3/31/2021,Recovery
6/30/2021,Stagflation
9/30/2021,Stagflation
12/31/2021,Stagflation
3/31/2022,Stagflation
6/30/2022,Stagflation
9/30/2022,Stagflation
12/31/2022,Reccesion
3/31/2023,Recovery
6/30/2023,Recovery
9/30/2023,Recovery
12/31/2023,Recovery
3/31/2024,Overheat
6/30/2024,Stagflation
