Period,OECD_CH
31/3/2006,Overheat
30/6/2006,Overheat
29/9/2006,Overheat
29/12/2006,Overheat
30/3/2007,Overheat
29/6/2007,Overheat
28/9/2007,Overheat
31/12/2007,Reccesion
31/3/2008,Stagflation
30/6/2008,Stagflation
30/9/2008,Stagflation
31/12/2008,Reccesion
31/3/2009,Reccesion
30/6/2009,Recovery
30/9/2009,Recovery
31/12/2009,Overheat
31/3/2010,Overheat
30/6/2010,Stagflation
30/9/2010,Stagflation
31/12/2010,Stagflation
31/3/2011,Overheat
30/6/2011,Overheat
30/9/2011,Stagflation
30/12/2011,Reccesion
30/3/2012,Reccesion
29/6/2012,Recovery
28/9/2012,Overheat
31/12/2012,Overheat
29/3/2013,Overheat
28/6/2013,Overheat
30/9/2013,Overheat
31/12/2013,Overheat
31/3/2014,Reccesion
30/6/2014,Reccesion
30/9/2014,Reccesion
31/12/2014,Reccesion
31/3/2015,Recovery
30/6/2015,Overheat
30/9/2015,Stagflation
31/12/2015,Reccesion
31/3/2016,Reccesion
30/6/2016,Overheat
30/9/2016,Overheat
30/12/2016,Overheat
31/3/2017,Overheat
30/6/2017,Overheat
29/9/2017,Stagflation
29/12/2017,Stagflation
30/3/2018,Reccesion
29/6/2018,Reccesion
28/9/2018,Reccesion
31/12/2018,Reccesion
29/3/2019,Reccesion
28/6/2019,Reccesion
30/9/2019,Reccesion
31/12/2019,Reccesion
31/3/2020,Reccesion
30/6/2020,Recovery
30/9/2020,Recovery
31/12/2020,Recovery
31/3/2021,Recovery
30/6/2021,Stagflation
30/9/2021,Stagflation
31/12/2021,Stagflation
31/3/2022,Reccesion
30/6/2022,Reccesion
30/9/2022,Reccesion
30/12/2022,Reccesion
31/3/2023,Recovery
30/6/2023,Recovery
29/9/2023,Overheat
29/12/2023,Recovery
29/3/2024,Recovery
28/6/2024,Reccesion
