date,XLP,XLY
1998-12-22,26.50,25.47
1998-12-23,27.14,25.58
1998-12-24,27.09,26.05
1998-12-28,26.94,25.81
1998-12-29,27.53,26.38
1998-12-30,27.36,26.16
1998-12-31,27.16,26.13
1999-01-04,26.94,25.97
1999-01-05,27.14,26.41
1999-01-06,27.47,27.16
1999-01-07,27.16,27.13
1999-01-08,27.05,27.16
1999-01-11,26.50,27.02
1999-01-12,26.30,26.31
1999-01-13,26.34,26.44
1999-01-14,25.84,25.84
1999-01-15,26.13,26.17
1999-01-19,25.83,26.16
1999-01-20,25.91,26.59
1999-01-21,25.52,26.34
1999-01-22,25.39,26.47
1999-01-25,25.33,26.41
1999-01-26,25.92,27.03
1999-01-27,26.27,27.00
1999-01-28,26.73,27.28
1999-01-29,26.80,27.47
1999-02-01,26.69,27.53
1999-02-02,26.91,27.19
1999-02-03,26.81,27.63
1999-02-04,26.69,27.47
1999-02-05,26.28,26.78
1999-02-08,26.23,27.22
1999-02-09,25.77,26.38
1999-02-10,25.95,26.38
1999-02-11,26.39,27.23
1999-02-12,26.17,26.75
1999-02-16,26.48,27.09
1999-02-17,26.22,27.00
1999-02-18,26.50,27.03
1999-02-19,26.39,27.17
1999-02-22,26.95,27.86
1999-02-23,26.91,27.72
1999-02-24,26.75,27.38
1999-02-25,26.44,27.06
1999-02-26,26.52,27.30
1999-03-01,26.39,27.31
1999-03-02,26.31,27.38
1999-03-03,26.31,27.23
1999-03-04,26.67,27.81
1999-03-05,27.08,28.66
1999-03-08,27.20,28.78
1999-03-09,27.23,28.86
1999-03-10,26.94,28.78
1999-03-11,27.20,29.09
1999-03-12,27.44,29.22
1999-03-15,27.67,29.28
1999-03-16,27.80,29.13
1999-03-17,27.33,29.00
1999-03-18,27.80,29.50
1999-03-19,27.63,29.06
1999-03-22,27.61,28.75
1999-03-23,26.83,27.88
1999-03-24,26.81,27.66
1999-03-25,27.02,28.50
1999-03-26,26.92,28.31
1999-03-29,27.27,29.00
1999-03-30,27.03,29.03
1999-03-31,26.44,28.59
1999-04-01,26.48,28.56
1999-04-05,26.63,28.94
1999-04-06,26.33,29.09
1999-04-07,26.30,29.34
1999-04-08,26.91,30.00
1999-04-09,26.97,30.28
1999-04-12,27.42,30.53
1999-04-13,27.52,30.38
1999-04-14,26.69,29.69
1999-04-15,26.03,29.63
1999-04-16,26.14,29.72
1999-04-19,25.05,29.06
1999-04-20,25.52,29.44
1999-04-21,26.33,29.94
1999-04-22,26.66,30.02
1999-04-23,26.61,30.34
1999-04-26,26.42,30.16
1999-04-27,26.45,30.23
1999-04-28,26.06,30.13
1999-04-29,25.86,29.44
1999-04-30,25.52,29.34
1999-05-03,26.11,30.06
1999-05-04,25.89,29.72
1999-05-05,26.14,29.47
1999-05-06,25.80,28.81
1999-05-07,26.02,29.47
1999-05-10,25.61,29.44
1999-05-11,25.72,30.03
1999-05-12,26.09,30.22
1999-05-13,26.22,30.06
1999-05-14,25.75,29.47
1999-05-17,25.92,28.88
1999-05-18,25.58,29.06
1999-05-19,25.94,28.72
1999-05-20,26.00,28.97
1999-05-21,25.92,28.78
1999-05-24,25.25,28.16
1999-05-25,25.00,27.88
1999-05-26,25.00,28.19
1999-05-27,24.88,27.63
1999-05-28,25.25,28.02
1999-06-01,25.34,28.19
1999-06-02,24.95,28.13
1999-06-03,25.19,28.78
1999-06-04,26.06,29.00
1999-06-07,25.84,29.08
1999-06-08,25.48,28.64
1999-06-09,25.34,28.36
1999-06-10,24.88,27.95
1999-06-11,24.63,27.81
