indgp,Recovery,Stagflation,Reccesion,Overheat
Media,,,,
Telecommunication Services,,,1,
Automobiles & Components,1,,,1
Consumer Services,,,,
Consumer Durables & Apparel,,,,
Consumer Discretionary Distribution & Retail,1,,,
Consumer Staples Distribution & Retail,,,,
Food Beverage & Tobacco,,,1,
Household & Personal Products,,,1,
Energy,,,,1
Banks,1,,1,
Financial Services,1,,1,
Insurance,,,,
Health Care Equipment & Services,,,1,
"Pharmaceuticals, Biotechnology & Life Sciences",,,,
Capital Goods,,,,
Commercial & Professional Services,,,,
Transportation,,,,
Software & Services,1,,,1
Semiconductors & Semiconductor Equipment,1,,,1
Technology Hardware & Equipment,1,,,1
Materials,,,,1
Equity Real Estate Investment Trusts (REITs),,,,
Utilities,,,1,
